time,EPE_unnetted,EPE_netted
0.0,524.2941129943589,524.2941129943589
0.08333333333333333,543.681330235837,527.1256768812216
0.16666666666666666,573.4091916485714,531.6849720862828
0.25,602.8080898983209,542.6409569864787
0.3333333333333333,629.8344614704599,553.0863881435004
0.41666666666666663,652.5930188559352,563.7078729762131
0.5,678.8748298547431,579.422316976712
0.5833333333333333,698.0101042315664,589.9226366686102
0.6666666666666666,715.5585450132573,599.1875632684041
0.75,737.1800683591416,613.1772277302323
0.8333333333333333,754.368442971138,623.7527671947671
0.9166666666666666,770.1303778940292,632.3337557274532
1.0,786.4239810505029,642.3374089133816
1.0833333333333333,801.5070579063629,651.0046742799714
1.1666666666666665,818.4003995005503,663.2824568608436
1.25,833.3820657670648,673.4863649391831
1.3333333333333333,846.6389219507571,680.68375518629
1.4166666666666665,863.8708654520592,693.002539849485
1.5,876.8749084235857,701.9289344989068
1.5833333333333333,891.6897016460395,713.5996294072129
1.6666666666666665,906.8095719848014,724.4294194289075
1.75,919.8461569988461,731.6673705193673
1.8333333333333333,936.4150247759627,744.0816755225036
1.9166666666666665,950.7730529936953,754.2641185726078
2.0,962.7701659430198,762.3745869884486
2.083333333333333,976.197773430015,772.396965193442
2.1666666666666665,989.675510265643,783.0195578236334
2.25,1002.7227437533359,792.4773043965291
2.333333333333333,1017.6441489589491,803.5773066787898
2.4166666666666665,1028.9027578536718,812.774449491922
2.5,1040.52399622019,820.3926784734655
2.583333333333333,1056.5880489696638,834.1408650685963
2.6666666666666665,1071.512486640241,846.360881105702
2.75,1081.0635827486478,853.6210083115166
2.833333333333333,1095.620596196553,865.8240766250633
2.9166666666666665,1108.8046318432796,876.3427638673056
3.0,1120.4667671420323,886.5117010872858
3.083333333333333,1131.8065856147616,895.1070131784184
3.1666666666666665,1140.642818852909,901.75973785022
3.25,1155.196824286749,914.1333326620713
3.333333333333333,1168.2959315250398,925.1275359267707
3.4166666666666665,1178.1304913215863,932.1841949514857
3.5,1190.9001494722663,941.8084167490862
3.583333333333333,1199.522322173761,948.1078551943422
3.6666666666666665,1207.8036539883572,954.6417042972531
3.75,1224.0495054534622,968.8791947274007
3.833333333333333,1234.9553654898805,977.6761824965621
3.9166666666666665,1239.6917657949782,980.8580250541652
4.0,1247.75081727463,986.087503696098
4.083333333333333,1257.7736948203265,994.041096892972
4.166666666666666,1265.3879025835477,1000.7824379863149
4.25,1281.9545737336086,1017.0523589609288
4.333333333333333,1288.2464145097194,1022.0189983888727
4.416666666666666,1305.1091483111893,1036.3668776419229
4.5,1313.9993156530659,1044.7558942111402
4.583333333333333,1325.7645747487445,1054.9085865710551
4.666666666666666,1334.7927508011312,1063.5185399308373
4.75,1348.1238552228135,1075.5164081344399
4.833333333333333,1364.22856965348,1088.6682577203362
4.916666666666666,1374.3958728727184,1098.0129203587892
5.0,1392.3282426774256,1114.5355306570236
